2021-02-23 18:16:18,474 p=4078 u=root n=ansible | Using /etc/ansible/ansible.cfg as config file
2021-02-23 18:16:18,474 p=4078 u=root n=ansible | ERROR! the playbook: ec2_provisioning.yml could not be found
2021-02-24 14:13:59,461 p=10919 u=ubuntu n=ansible | ERROR! the playbook: instance_type=ami-0915bcb5fa77e4892 could not be found
2021-02-24 14:15:24,623 p=10933 u=ubuntu n=ansible | [WARNING]: provided hosts list is empty, only localhost is available. Note that the implicit localhost does not match 'all'

2021-02-24 14:15:24,949 p=10933 u=ubuntu n=ansible | PLAY [localhost] *******************************************************************************************************************************************************
2021-02-24 14:15:24,963 p=10933 u=ubuntu n=ansible | TASK [include_vars] ****************************************************************************************************************************************************
2021-02-24 14:15:24,976 p=10933 u=ubuntu n=ansible | fatal: [localhost]: FAILED! => {"ansible_facts": {}, "ansible_included_var_files": [], "changed": false, "message": "Could not find or access '/ansible_repo/prov_aws_ec2_ansible_2/variables/variables.yml' on the Ansible Controller.\nIf you are using a module and expect the file to exist on the remote, see the remote_src option"}
2021-02-24 14:15:24,977 p=10933 u=ubuntu n=ansible | PLAY RECAP *************************************************************************************************************************************************************
2021-02-24 14:15:24,978 p=10933 u=ubuntu n=ansible | localhost                  : ok=0    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2021-02-24 14:16:54,042 p=10944 u=ubuntu n=ansible | [WARNING]: provided hosts list is empty, only localhost is available. Note that the implicit localhost does not match 'all'

2021-02-24 14:16:54,350 p=10944 u=ubuntu n=ansible | PLAY [localhost] *******************************************************************************************************************************************************
2021-02-24 14:16:54,364 p=10944 u=ubuntu n=ansible | TASK [include_vars] ****************************************************************************************************************************************************
2021-02-24 14:16:54,375 p=10948 u=ubuntu n=ansible | [WARNING]: While constructing a mapping from /ansible_repo/prov_aws_ec2_ansible_2/variables/variable.yml, line 1, column 1, found a duplicate dict key (ec2_tag_Role).
Using last defined value only.

2021-02-24 14:16:54,378 p=10944 u=ubuntu n=ansible | ok: [localhost]
2021-02-24 14:16:54,411 p=10944 u=ubuntu n=ansible | TASK [Provision one instances] *****************************************************************************************************************************************
2021-02-24 14:16:54,426 p=10944 u=ubuntu n=ansible | fatal: [localhost]: FAILED! => {"msg": "The task includes an option with an undefined variable. The error was: 'ec2_image' is undefined\n\nThe error appears to be in '/ansible_repo/prov_aws_ec2_ansible_2/playbooks/ec2_provisioning_1.yml': line 10, column 7, but may\nbe elsewhere in the file depending on the exact syntax problem.\n\nThe offending line appears to be:\n\n  tasks:\n    - name: Provision {{ ec2_count }} instances\n      ^ here\nWe could be wrong, but this one looks like it might be an issue with\nmissing quotes. Always quote template expression brackets when they\nstart a value. For instance:\n\n    with_items:\n      - {{ foo }}\n\nShould be written as:\n\n    with_items:\n      - \"{{ foo }}\"\n"}
2021-02-24 14:16:54,428 p=10944 u=ubuntu n=ansible | PLAY RECAP *************************************************************************************************************************************************************
2021-02-24 14:16:54,429 p=10944 u=ubuntu n=ansible | localhost                  : ok=1    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2021-02-24 14:18:02,719 p=10959 u=ubuntu n=ansible | [WARNING]: provided hosts list is empty, only localhost is available. Note that the implicit localhost does not match 'all'

2021-02-24 14:18:03,033 p=10959 u=ubuntu n=ansible | PLAY [localhost] *******************************************************************************************************************************************************
2021-02-24 14:18:03,046 p=10959 u=ubuntu n=ansible | TASK [include_vars] ****************************************************************************************************************************************************
2021-02-24 14:18:03,058 p=10963 u=ubuntu n=ansible | [WARNING]: While constructing a mapping from /ansible_repo/prov_aws_ec2_ansible_2/variables/variable.yml, line 1, column 1, found a duplicate dict key (ec2_tag_Role).
Using last defined value only.

2021-02-24 14:18:03,061 p=10959 u=ubuntu n=ansible | ok: [localhost]
2021-02-24 14:18:03,094 p=10959 u=ubuntu n=ansible | TASK [Provision one instances] *****************************************************************************************************************************************
2021-02-24 14:18:03,894 p=10959 u=ubuntu n=ansible | fatal: [localhost -> localhost]: FAILED! => {"changed": false, "msg": "argument exact_count is of type <class 'str'> and we were unable to convert to int: <class 'str'> cannot be converted to an int"}
2021-02-24 14:18:03,896 p=10959 u=ubuntu n=ansible | PLAY RECAP *************************************************************************************************************************************************************
2021-02-24 14:18:03,897 p=10959 u=ubuntu n=ansible | localhost                  : ok=1    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2021-02-24 14:18:56,462 p=11003 u=ubuntu n=ansible | [WARNING]: provided hosts list is empty, only localhost is available. Note that the implicit localhost does not match 'all'

2021-02-24 14:18:56,787 p=11003 u=ubuntu n=ansible | PLAY [localhost] *******************************************************************************************************************************************************
2021-02-24 14:18:56,800 p=11003 u=ubuntu n=ansible | TASK [include_vars] ****************************************************************************************************************************************************
2021-02-24 14:18:56,812 p=11007 u=ubuntu n=ansible | [WARNING]: While constructing a mapping from /ansible_repo/prov_aws_ec2_ansible_2/variables/variable.yml, line 1, column 1, found a duplicate dict key (ec2_tag_Role).
Using last defined value only.

2021-02-24 14:18:56,814 p=11003 u=ubuntu n=ansible | ok: [localhost]
2021-02-24 14:18:56,848 p=11003 u=ubuntu n=ansible | TASK [Provision 1 instances] *******************************************************************************************************************************************
2021-02-24 14:18:57,461 p=11003 u=ubuntu n=ansible | fatal: [localhost -> localhost]: FAILED! => {"changed": false, "msg": "No handler was ready to authenticate. 1 handlers were checked. ['HmacAuthV4Handler'] Check your credentials"}
